a,b,c,left,right,deviation
0.3745401188473625,0.3736408184666985,0.7299983109899704,0.5520443898235005,0.46317984178784843,0.08886454803565202
0.9507143064099162,0.3329120962314033,0.18451199559871156,0.4131625984596856,0.6047131761624868,0.19155057770280115
0.7319939418114051,0.17615391250286005,0.3466396943698862,0.4003568107635094,0.4966953726238891,0.0963385618603797
0.5986584841970366,0.6072666701014879,0.6632806368578182,0.6331216070035403,0.6169660688383448,0.016155538165195438
0.15601864044243652,0.4766241605086289,0.48208934452447993,0.3992053725000063,0.31768769647949546,0.08151767602051085
0.15599452033620265,0.8657009923240037,0.7385710386348938,0.6247093974824984,0.4790652679078257,0.1456441295746727
0.05808361216819946,0.03210958048205825,0.9612079012228597,0.5031522487739943,0.2773711765103292,0.22578107226366512
0.8661761457749352,0.6438679275551263,0.1165466877151975,0.4357843621901141,0.6231917267050485,0.1874073645149344
0.6011150117432088,0.7629488785115611,0.7095677163980609,0.6957998307627229,0.66868665459901,0.027113176163712893
0.7080725777960455,0.759486569188307,0.23034415563211452,0.4820618645621454,0.6014939701031281,0.11943210554098271
0.020584494295802447,0.8860739670955251,0.41447672740756925,0.4339029790516165,0.33542992077367484,0.09847305827794167
0.9699098521619943,0.7290337428294941,0.032862725795139824,0.441167261645442,0.6754290432371557,0.23426178159171368
0.8324426408004217,0.9278100616476963,0.13590738229269894,0.508016866758379,0.6821506813853097,0.17413381462693067
0.21233911067827616,0.33265659982089146,0.3197772890488997,0.29613757214924175,0.26927802755658586,0.026859544592655882
0.18182496720710062,0.5032094167515431,0.34198580528798495,0.3422514986336534,0.3022112891134323,0.04004020952022108
0.18340450985343382,0.014079663282890675,0.8995852164620958,0.499163651515129,0.3201184748629635,0.17904517665216546
0.3042422429595377,0.006957587303291213,0.7418129092665151,0.4487064121989648,0.33931374562222044,0.10939266657674435
0.5247564316322378,0.2401266204515199,0.9721829681870411,0.6773122471144599,0.5654556129757591,0.11185663413870084
0.43194501864211576,0.10080719713908526,0.5990715103352405,0.4327238091129205,0.39094218618963933,0.04178162292328119
0.2912291401980419,0.2602113679357536,0.24171373209131797,0.2587169930791079,0.2710958451057889,0.012378852026680986
0.6118528947223795,0.1770432945283974,0.32765502992164286,0.36105156227351565,0.4321010284736998,0.07104946620018415
0.13949386065204183,0.02852002483864824,0.3198359232919671,0.20192143301865606,0.15683591735867475,0.04508551565998131
0.29214464853521815,0.9093041464060494,0.3264943276632516,0.4636093625669427,0.45502194278493435,0.008587419782008332
